,상호명,label
0,뉴욕핫도그 치킨,0
1,백중기와야순두부,0
2,문삼이,0
3,어부의 밥상,0
4,두울원,0
5,청담동순도리,0
6,기센국밥,0
7,삼치기,0
8,신라식당,0
9,전국방방곱곱,0
10,미삼집,0
11,꽃바른 비빔밥 국수,0
12,진도리 닭도리탕,0
13,대박통,0
14,남자마늘보쌈,0
15,오늘게장,0
16,밤새먹소,0
17,한국수강릉장칼집,0
18,아이러브피자 치킨,0
19,푸드더하기,0
20,부여통닭,0
21,옛날장터치킨,0
22,젠틀닭,0
23,쌀쌀맞은닭,0
24,One Two깻잎두마리치킨,0
25,추억닭발,0
26,씨에프숯불바베큐치킨,0
27,코리안바베큐,0
28,청년치킨,0
29,둘마니치킨,0
30,박군치킨,0
31,컬투치킨,0
32,누구나홀딱반한닭,0
33,빌리언박스,0
34,버거베어,0
35,아이가릿버거,0
36,투핸즈업버거,0
37,비스트로피자,0
38,버거프레클리,0
39,치킨매니아,0
40,부어치킨,0
41,푸라닭,0
42,빛고을닭강정,0
43,닭강정 맛 가격 5반하다,0
44,불아더 숯불바베큐,0
45,청정돼지,0
46,해닭,0
47,제주옥탑,0
48,별을 품은 곱창,0
49,갓갈비,0
50,숨쉬는 순두부,0
51,전준수명품청기와감자탕,0
52,퍼스트생갈비찜,0
53,쪽갈비에미치닭,0
54,국보급냉면,0
55,셰프들의밥상,0
56,김프로부대찌개,0
57,9라파 부대찌개,0
58,사랑담은묵은지찜찌개,0
59,칠구네신림동백순대,0
60,오븐에빠진닭,0
61,또래오래,0
62,공만치킨,0
63,호치킨,0
64,신통치킨,0
65,꿀마니 닭강정,0
66,희치킨,0
67,치킨테리아,0
68,맥켄치킨,0
69,봇닭치킨,0
70,림스치킨,0
71,사바사바치킨앤비어,0
72,두레옛날통닭,0
73,바비큐보스,0
74,하우스홀드,0
75,못말리는파닭,0
76,치킨선생,0
77,보드람치킨,0
78,치순이통닭,0
79,본스치킨,0
80,치킨89,0
81,동근이숯불두마리치킨,0
82,지코바양념치킨,0
83,진미대왕통닭,0
84,코리엔탈깻잎두마리치킨,0
85,해두리치킨,0
86,깐부치킨,0
87,바비후,0
88,명가통닭,0
89,갱스터 떡볶이치킨,0
90,한앤둘치킨,0
91,논현삼계탕,0
92,고기와국수이야기,0
93,늘이맛콩나물국밥국수,0
94,옥토키친,0
95,정온달집,0
96,번지농장돌판아구찜,0
97,곱돌이곱창,0
98,생생쭈꾸미,0
99,배달삼겹 맛있으면돼지,0
100,전라도이야기,0
101,안성깍뚜기,0
102,닭발싸롱,0
103,넙딱집,0
104,조방낙지,0
105,대호국밥,0
106,송주불냉면앤칼국수,0
107,본가어탕,0
108,밥통령,0
109,내가이나라의국수다,0
110,퓨전충무김밥 달리다굼,0
111,비스트로분당김치찜,0
112,우리동네 대통령,0
113,코봉이 해물찜,0
114,강릉장칼,0
115,배씨상회,0
116,곱끌림,0
117,1954무한등심,0
118,더맛있는족발보쌈,0
119,국제통닭,0
120,찐이야숯불두마리치킨,0
121,히동이치킨,0
122,모아모찜닭,0
123,닭가대표,0
124,또또닭강정,0
125,후라이드참잘하는집,0
126,짱닭치킨,0
127,다코기,0
128,수찜닭,0
129,치특,0
130,다가치통닭,0
131,달구똥,0
132,삼덕통닭,0
133,더썬치킨,0
134,바른치킨,0
135,존슨켄터키,0
136,닭깡,0
137,처갓집양념치킨,0
138,삼통치킨,0
139,김성구의성마늘치킨,0
140,더기발한치킨,0
141,사쿠사쿠,0
142,도담치킨,0
143,치킨뱅이,0
144,맛닭꼬,0
145,냠냠숯불두마리치킨,0
146,구도로통닭,0
147,치킨멤버,0
148,닭권브이,0
149,영계소문옛날통닭,0
150,아맛나 연차돈,0
151,복사꽃피는집,0
152,가얏골감자탕,0
153,계릴라도리탕,0
154,삼겹식당,0
155,여장군,0
156,만재네,0
157,팔당냉면,0
158,유가네한우곰탕,0
159,본세이로무시,0
160,우미남,0
161,우렁각시,0
162,불끈낙지,0
163,보백관,0
164,황금 쭈꾸미집,0
165,역전국밥,0
166,수유리혼밥왕,0
167,와촌식당,0
168,치킨176 ,0
169,가마통,0
170,마녀치킨,0
171,베리원치킨앤임실피자,0
172,배통,0
173,치킨파머스,0
174,토닭토닭양념치킨,0
175,가마솥옛날시골통닭,0
176,시골숯불치킨,0
177,찐도리도리닭도리,0
178,징기스칸치킨,0
179,치킨커플,0
180,만년닭강정,0
181,아이벗치킨,0
182,치몬치킨,0
183,노상치킨,0
184,경아두마리치킨,0
185,페리카나,0
186,계복치,0
187,테트리스찜닭,0
188,후라이드 참 잘하는집,0
189,신화불닭발,0
190,남박사의 닭꼬치애꼬치다,0
191,순살의민족,0
192,천수통닭,0
193,치킨과 바람피자,0
194,독가마 숯불치킨,0
195,오늘닭강정,0
196,치킨에꼬치다,0
197,반반이두통찜닭,0
198,꼬레랑,0
199,592 바베큐 치킨,0
200,비에프씨치킨,0
201,계림원누릉지통닭구이,0
202,참숯불에꾸운닭,0
203,충만치킨,0
204,못말리는프렌즈,0
205,진도담찜닭,0
206,꿀딱,0
207,꼬꼬팜,0
208,소담치킨,0
209,BRD백록담,0
210,핫게이트99치킨,0
211,고바우통닭,0
212,이유치킨,0
213,겉바속촉 압력솥통닭,0
214,방방파닭,0
215,김종용누룽지통닭,0
216,올마이티키친,0
217,똥꼬치킨,0
218,옛날그시절 화덕찜닭,0
219,낭만장작,0
220,그집마늘치킨   쪼닭,0
221,프랑킨숯불양념구이치킨,0
222,내가 조선의 치킨이고 맥주다,0
223,오로지닭,0
224,통독상회,0
225,치킨아울렛,0
226,국민마늘치킨,0
227,장작클라스,0
228,혁계치킨,0
229,뭐꼬뭐꼬,0
230,온고지신 통닭 ,0
231,똥집의 달인,0
232,순구치떡,0
233,영도통닭,0
234,찌웅이네숯불두마리치킨,0
235,계꿀치킨,0
236,태권치킨,0
237,836숯불바베큐치킨,0
238,장모님치킨,0
239,60계,0
240,치킨연맹,0
241,난타5000피자,0
242,밥은화,0
243,장패,0
244,어두리,0
245,다시오고싶은집 이명숙 양평해장국,0
246,신 s쭈꾸미,0
247,만석장,0
248,순곱이네,0
249,소플러스,0
250,송돈가,0
251,옥구삼,0
252,댓짱돈까스,0
253,황금명태본가,0
254,거송갈비찜,0
255,정안정,0
256,경이로운아구 알곤이찜,0
257,미아리우동집,0
258,죽생각,0
259,빨간토마토피자,0
260,피맥하우스,0
261,빵위에 치즈 피자앰플러,0
262,피제리아라르도,0
263,나루에프엔비톰스,0
264,피자스톰,0
265,강정구의 피자생각,0
266,피자빅,0
267,피자는 치즈빨,0
268,닭치고피자먹자,0
269,영구스피자,0
270,피자 비토랩,0
271,오구쌀피자,0
272,Port  Albs 피자굼터,0
273,2피자1치킨상회,0
274,피자런,0
275,레트로지,0
276,피자이탈리,0
277,오르새피자,0
278,피자꾼,0
279,핏제리아오,0
280,파파밸리피자,0
281,오리지널시카고,0
282,피자스쿨,0
283,오즈앙,0
284,한명숙피자치킨,0
285,남자피자,0
286,엘리펀트피자,0
287,당신은지금치킨이땡긴다,0
288,그시절옛날통닭,0
289,모두의피자,0
290,서민피자,0
291,빨간모자피자,0
292,도미노피자,0
293,피자애,0
294,피자1991,0
295,피자닷,0
296,피자나라 치킨공주,0
297,도시피자,0
298,꼬꼬번피자 치킨,0
299,파파존스피자,0
300,미스터피자,0
301,오투닭갈비,0
302,오공면샤브칼국수,0
303,소바 애,0
304,준식당,0
305,어명이요,0
306,손군부대찌개,0
307,황소갈비,0
308,맛없으면 환불해주는 장군집,0
309,신대장 떡볶이,0
310,남문떡볶이,0
311,리틀꼬마김밥,0
312,동대문떡볶이 동떡,0
313,촌빨떡볶이,0
314,달토끼의 떡볶이 흡입구역,0
315,청춘꼬마김밥앤떡볶이,0
316,소풍경,0
317,금자옛날떡볶이,0
318,마녀김밥,0
319,배신떡볶이,0
320,채다올김밥,0
321,떡작,0
322,이웃집소녀떡볶이,0
323,박봉자 떡볶이,0
324,아르떼로제떡볶이,0
325,신전떡복이,0
326,문 s 빨간떡볶이 빨간김밥,0
327,신포우리만두,0
328,신불떡볶이,0
329,삼시세끼 꼬마김밥,0
330,사우나 떡볶이,0
331,왕돈까스 왕냉면,0
332,응급실국물떡볶이,0
333,왕비돈까스,0
334,누를황떡볶이,0
335,다다믄,0
336,우리할매 떡볶이,0
337,두레마을우동집,0
338,심퉁즉석떡볶이,0
339,호기심에훔친뒷고기,0
340,홍석정원,0
341,미스터낙곱새,0
342,올레아구,0
343,둥지닭볶음탕,0
344,1984 그수육집칼국수,0
345,백순대본가새맛,0
346,돈짝,0
347,혁지원인 싱싱물회,0
348,해우리,0
349,마더락,0
350,구구족,0
351,피그보쌈집,0
352,일호점미역,0
353,막창일보,0
354,삼삼막창1994,0
355,완미족발,0
356,콩밭뜰,0
357,딜리버리키친,0
358,유림상회,0
359,봉이치킨,0
360,화락바베큐치킨,0
361,알리바바치킨,0
362,심여사천북양념통닭,0
363,영계푸드1988 옛날통닭,0
364,DDC치킨,0
365,허갈닭강정,0
366,청춘 명랑치킨,0
367,갓튀김닭,0
368,잉치킨,0
369,꺼구리치킨,0
370,죠스떡볶이,0
371,바로e생멸치국수,0
372,고창면옥,0
373,축제갈비,0
374,대세박목살,0
375,문래돼지불백,0
376,최정옥 미성복어불고기,0
377,청춘국물닭발,0
378,연암곱창,0
379,123막창,0
380,수유감자탕,0
381,철판떼기,0
382,드림숯불갈비,0
383,한쌈대패,0
384,코찜코찜,0
385,황제무한화로구이,0
386,서울전통육개장,0
387,홍칼라소갈비찜,0
388,유림회관,0
389,연희옥,0
390,부싼밀면,0
391,밀본,0
392,뿔발,0
393,문숙이미나리식당,0
394,콩두,0
395,시래정각,0
396,동방축산,0
397,서민반찬,0
398,성원정양대창,0
399,독골김치찜,0
400,릴라돈가스,0
401,삼청당,0
402,칠칠켄터키,0
403,추닭집,0
404,치킨처럼,0
405,치킨공방,0
406,조시치킨,0
407,호호닭발,0
408,쌀통닭,0
409,국민통닭,0
410,조커닭 ,0
411,닭강정공방,0
412,허대구 대구통닭,0
413,자담치킨,0
414,밤새우는 닭,0
415,종국이두마리치킨,0
416,땅땅치킨,0
417,호식이두마리치킨,0
418,꾼닭,0
419,본가옛날통닭,0
420,나는자연닭이다,0
421,닭장수후라이드 ,0
422,김삿갓통닭,0
423,조선의 옛날통닭,0
424,무봤나촌닭,0
425,서초동마약찜갈비,0
426,이것이국밥이다,0
427,한티재,0
428,해남김치식당,0
429,강레오의차돌집,0
430,봄이보리밥,0
431,청춘껍데기,0
432,동복리 제주갈치조림,0
433,임떡,0
434,을찌로국물떡볶이,0
435,또보겠지 떡볶이집,0
436,아딸,0
437,석바위토스트,0
438,만찬분식탁,0
439,레드신,0
440,정가왕만두,0
441,독수리오형제,0
442,열혈떡볶이,0
443,신세대꼬마김밥,0
444,까망종이밥,0
445,본만두,0
446,마리왕,0
447,오정은A김밥,0
448,떡런 로제떡볶이,0
449,미식가의우동,0
450,인정국물떡볶이,0
451,앵떡볶이,0
452,할매손충무김밥,0
453, 부엉이꼬마김밥,0
454,대림국수,0
455,뚱보아저씨 수제돈가스,0
456,진골김치찜,0
457,백선생푸드,0
458,육감족,0
459,신정골,0
460,택이네,0
461,오일삼낙곱새,0
462,고기는 모름지기 연탄구이,0
463,호랭이 돈까스,0
464,국대배달삼겹 갈비,0
465,능이와백숙,0
466,통큰두마리찜닭,0
467,혼바비언,0
468,씅 s 꼬기가득 비빔밥,0
469,돼지33,0
470,돼지만,0
471,오늘은쭈꾸미,0
472,칸죽,0
473,한결통아구찜,0
474,오늘칡냉면,0
475,김선영 대구왕뽈면옥,0
476,축산명가,0
477,정성을다한갈비찜,0
478,울통치킨,0
479,따로닭,0
480,칠구빵빵 통닭 비어,0
481,더맛닭,0
482,치킨히어로,0
483,알통떡강정,0
484,위드치킨,0
485,미미찜닭,0
486,낭만치맥,0
